性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数
0,1,0,1,1,【意超杯：国米3-0胜AC米兰夺冠】上赛季意杯冠军国际米兰3-0击败意甲冠军AC米兰，第7捧起意大利超级杯。迪马尔科、劳塔罗破门，哲科超越C罗成为意超杯最年长进球者。国米7次夺冠，历史夺冠次数追平AC米兰，仅次于尤文图斯（9次）。 ,2023/1/19,1,3,0
0,1,0,1,1,【曼联1-1遭绝平无缘10连胜】2022-23赛季英超第7轮补赛，曼联客场1-1被水晶宫绝平，无缘各项赛事的10连胜！韦霍斯特首秀，B费破门，奥利斯任意球世界波。腾讯体育 ,2023/1/19,1,0,0
0,2,0,1,1,【广东男篮赛季双杀辽宁 终结对手8连胜】马尚轰下36分，总得分突破7000分超马布里升历史第21，胡明轩贡献13+8，正负值+20全队最高，郭艾伦空砍14+6+6>>腾讯体育 ,2023/1/18,15,0,1
1,3,0,1,1,【郑钦文连丢7局崩盘 止步澳网女单次轮】郑钦文首盘4-1领先情况下连丢7局被逆转，最终0-2不敌美国选手佩拉，连续2年止步澳网第二轮。腾讯体育 ,2023/1/18,0,1,0
1,3,0,1,1,【张帅2-1晋级澳网次轮】张帅2-1击败罗马尼亚选手提格，连续2年晋级澳网女单次轮，三盘比分为6-1、4-6、6-0。腾讯体育 ,2023/1/18,5,1,0
0,2,0,1,1,【官宣！前国手后卫加盟北控男篮】刘晓宇将身披19号球衣代表北控男篮征战，这也是他CBA生涯效力的第四支球队>>腾讯体育 ,2023/1/18,6,2,0
1,3,1,1,1,【中国金花朱琳首进大满贯32强】澳网女单第二轮，朱琳2-0击败32号种子泰希曼，成功闯进32强，创造个人大满贯最佳战绩>>腾讯体育 ,2023/1/18,5,0,0
0,3,0,1,1,【卫冕冠军纳达尔无缘澳网32强】男单头号种子纳达尔不敌美国小将，比赛中他曾申请医疗暂停离场治疗，随后带伤出战。详细阅读>>腾讯体育 ,2023/1/18,3,0,0
0,2,0,1,8,【NBA首期关键球员榜：一人力压东契奇德罗赞】71分先生排第四，亚洲第一后卫在列，湖人勇士和篮网无人上榜。看榜单>>腾讯体育 【球星】福克斯vs马刺集锦 取23分送上隔扣索汉大礼 ,2023/1/18,3,1,0
0,2,0,1,1,【恩比德41分小卡乔治40分 76人击沉快船】哈登全场6中1仅得6分9助攻，乔治复出13分，76人3天内连杀洛城双雄！登帝组合的默契时刻 哈登两度连线恩比德 ,2023/1/18,5,1,0
0,2,1,1,5,【38岁的詹姆斯已和9对父子交手过】与火箭探花对话引热议！媒体列出他NBA生涯交手过的父子档，詹皇：这让我感到自己老了！详细阅读>>腾讯体育 【球星】詹姆斯vs火箭集锦 砍全场最高48分8篮板9助攻得分创赛季新高 ,2023/1/18,5,0,0
0,2,0,1,1,【太强！约基奇36分三双 利拉德44分成空砍】约基奇达成赛季第13次三双，助掘金7连胜继续领跑西部，利拉德连续6场得分30+。详细战报>>腾讯体育 【集锦】开拓者113-122掘金 利拉德空砍44分掘金7连胜,2023/1/18,1,0,0
1,2,2,3,7,【场边金发美女微笑+点头示意 老詹反应亮了】詹姆斯被她成功吸引注意力，结果没憋住笑，这一切都被镜头拍到。詹姆斯在偷乐！场边美女球迷深情凝视，老詹这得回家跪搓衣板 ,2023/1/18,7,1,1
0,2,0,1,1,【离谱！篮网射手0分被弃 西蒙斯扣篮打铁】篮网输摆烂队已遭3连败，杜兰特伤后球队3战全负；约翰逊34+10，助马刺近6场首胜。详细战报>>腾讯体育 篮筐跟你对着干？西蒙斯大步流星飞身直接将球扣飞 ,2023/1/18,5,0,0
0,2,0,1,10,【NBA又一起冲突！从场内贴脸纠缠至观众席】雄鹿中锋环抱对手并扯掉后者发带，连吃两T被驱逐，两队多人聚集场面火爆。#雄鹿猛龙冲突# 小特伦特头箍被摘掉引发冲突 大洛遭驱逐阿奴诺比吃T ,2023/1/18,6,2,0
0,2,0,1,10,【NBA全明星爆粗吐槽前队友：首发都TM谁啊】火箭摆烂计划令他不满，被雪藏多达一个赛季，最终双方分道扬镳。详细阅读>>腾讯体育 这样的表现已经许久未见了 沃尔长驱直入隔扣纳吉 ,2023/1/18,6,0,1
0,2,0,1,10,【篮网马刺大冲突：大莫抱摔樱木！】两人连续发生激烈身体冲撞，双方多人聚集，主帅冲进场，西蒙斯拉架也险冲突。#篮网马刺冲突# 火药味十足！莫里斯索汉对抗中发生冲突 莫里斯技犯索汉恶犯规 ,2023/1/18,3,0,0
0,2,0,1,10,【啊这？NBA东部重磅对决球馆突然熄灯】对手刚刚进球正想庆祝，雄鹿主场灯光瞬间全部熄灭，场上球员教练一脸懵。有人拉闸？猛龙vs雄鹿比赛过程中突然灭灯 ,2023/1/18,50,7,0
0,2,0,1,4,【揭秘勇士白宫之行 追梦：库里能当总统】勇士全队西装革履，美国总统获赠46号球衣，单膝跪地参与大合影。详细阅读>>腾讯体育 【集锦】勇士127-118奇才 库里41分普尔32分勇士力克奇才 ,2023/1/18,3,0,0
0,2,0,1,1,【对摆烂队拒绝刷分？欧文20中7后高挂免战牌】欧文将本赛季第11次缺席比赛，杜兰特受伤后，篮网已经两连败。详细阅读>>腾讯体育 【球星】欧文vs雷霆集锦 外线手感不佳 全场拿下15+6+6 ,2023/1/18,4,0,0
0,2,0,1,4,【耐心到头！NBA两大全明星后卫被兜售】马刺优质内线拒续约，引NBA多队争抢；太阳和魔术有意范弗利特。详细阅读>>腾讯体育 17日NBA十佳球 塔图姆失衡助飞罗威巴雷特隔扣巴恩斯 ,2023/1/18,2,0,0
0,2,0,1,10,#许钟豪被驱逐# 广厦球员许钟豪一脚直踹上海外援梅洛裆部，裁判回看视频后，果断判罚夺权将其驱逐>>腾讯体育 ,2023/1/17,2,5,0
0,2,0,1,1,【赵睿、阿联或因伤病无缘辽粤大战】CBA辽粤大战明日打响，杜锋赛前透露赵睿将因伤缺席，易建联身体不适也无法确定能否出战>>腾讯体育 ,2023/1/17,15,4,2
0,2,1,1,1,【苦战5盘出局！中国网球一哥无缘大满贯首胜】澳网男单首轮，中国选手张之臻决胜盘抢十惜败，生涯三次大满贯首轮都是打满5盘失利出局>>腾讯体育 ,2023/1/17,6,0,0
0,2,0,1,1,【疯狂大逆转！新疆男篮1分险胜青岛】新疆最后7分钟打出一波16-3，落后一整场在终场前50秒才完成反超，惊险拿到4连胜，阿尔斯兰6记三分轰下26分>>腾讯体育 ,2023/1/17,8,0,0
0,2,1,1,1,【詹姆斯48分赛季新高 湖人力克垫底队终结三连败】詹姆斯48+8+9，赛季第三次40+，威少24分；火箭惨遭11连败，内线新星33+15+6，得分创生涯新高。詹皇驾到通通闪开！詹姆斯直杀腹地单臂重扣 ,2023/1/17,12,4,1
0,2,0,1,10,【特雷杨与球队高管关系恶化】吹杨与高管关系恶化，矛盾始于去年季后赛；主帅曾想辞职但被说服留队，下赛季大概率离开。腾讯体育 ,2023/1/17,3,1,0
0,2,1,1,1,【詹皇盼终结连败！正视频直播火箭vs湖人】黑贝缺阵2场后复出，本场首发出战。3连败湖人PK10连败火箭，谁能率先走出困境？看直播>>扫一扫下载 腾讯体育APP ,2023/1/17,5,1,0
0,2,0,1,1,【21岁新秀狂砍双20缔造神迹 成NBA近30年首人】爵士新秀中锋凯斯勒 出战31分钟，13中9轰下20分21篮板2盖帽，加冕队史首人，比肩历史超级中锋。腾讯体育 ,2023/1/17,8,2,1
0,2,0,1,1,【太阳又伤一人 悍将血洒赛场退赛】奥科吉遭队友误伤，被肘击到鼻子，倒地不起最终退赛。他们已有5大球员因伤长期缺阵，今日又伤一人>>腾讯体育 ,2023/1/17,1,0,0
0,2,0,1,1,【库里41+7刷爆纪录 客场球迷倒戈高呼MVP】勇士送奇才两连败，普尔单节23分生涯新高【球星】库里vs奇才集锦 砍41分末节11分锁胜局 ,2023/1/17,11,1,1
0,2,1,1,1,【NBA官宣威少最后一攻没被犯规 老詹爆粗炮轰】湖人vs76人裁判报告出炉，没有任何错漏判。詹皇不满：裁判总在说“这不是犯规”，这真XX让人沮丧！腾讯体育 ,2023/1/17,5,1,0
0,2,0,1,1,【狂轰51分+7三分！塔图姆末节18分杀死比赛】绿军豪取七连胜，当家核心出战40分钟，高效23中15，轰下个人赛季首个50+，超越伯德升至队史第一！【球星】塔图姆vs黄蜂集锦 51分常规赛5次50+绿凯队史第一 ,2023/1/17,2,0,2
1,2,0,1,2,【女篮传奇巨星玛雅-摩尔宣布退役】她是四届WNBA总冠军得主，还曾率领山西女篮夺取WCBA三连冠，被誉为篮坛“不败女王”！腾讯体育 ,2023/1/16,10,2,2
0,2,0,1,1,【北京男篮惨遭17分大逆转 吞下3连败】北京最多领先17分最终还输掉15分，本赛季三战福建输掉2场，陈林坚6记三分轰下26分，曾凡博复出11中4得到13分。腾讯体育 ,2023/1/16,6,0,0
0,2,0,1,1,【郭艾伦领衔7人上双 辽篮轻取吉林夺8连胜】郭艾伦三节打卡贡献20+6，赵继伟送出8次助攻，辽篮本赛季对吉林完成三杀>>腾讯体育 ,2023/1/16,7,0,0
0,2,2,1,1,NBA十佳球：老詹陀螺转身秀得飞起，约老师撤步三分绝杀宣布“下课”，恩比德暴力隔扣打服湖人悍将！16日NBA十佳球 约老师撤步三分绝杀 老詹两度上榜 ,2023/1/16,4,0,0
0,2,1,1,1,【威少最后一攻被恩比德死死抓住手腕】湖人又冤死？威少抱怨自己被恩比德犯规，主帅哈姆解释为何不叫暂停。#威少最后一攻##76人双杀湖人# 详细阅读>>腾讯体育 【球星】威少vs费城集锦 20+14+11替补出场拿下三双数据 ,2023/1/16,2,1,0
0,2,0,1,1,【争议判罚！恩比德垫脚詹姆斯了吗】詹姆斯三分出手被恩比德扑倒，落地踩到后者脚面，裁判认为是普通犯规。#76人双杀湖人##詹姆斯35分10助攻# 到底有没有垫脚？恩比德扑倒詹姆斯被吹普通犯规 ,2023/1/16,10,7,1
0,2,1,1,1,【威少单挑恩比德失绝杀 詹皇直接离场】最后30秒两人竟轮流1v1，威少被防死湖人吞3连败，詹姆斯第一时间沮丧离场。#76人双杀湖人# #威少最后一攻# 威少遗憾错失绝杀 詹姆斯转身离场 ,2023/1/16,7,6,0
0,2,1,1,1,【头皮发麻！威少快攻3打2离谱失误】他无视篮下的詹姆斯和底角的队友，直接将球扔出底线。解说懵了：你要干嘛？五大囧给你安排上 威少反击3打2直接把球扔出底线 ,2023/1/16,15,20,2
0,3,0,1,1,【中国大陆男网澳网首胜！17岁体二代创历史】商竣程3-1取胜，生涯首进大满贯正赛第二轮，成为澳网118年首位打进男单第二轮的中国大陆选手。#商竣程获大满贯正赛首胜##商竣程晋级澳网第二轮# 详细阅读>>腾讯体育 ,2023/1/16,4,1,0
0,2,0,1,1,【约基奇0.2秒三分绝杀魔术！】约基奇砍下17+10+14，绝命时刻顶人投进绝杀三分，掘金6连胜坐稳西部第一！#约基奇绝杀魔术# 到点儿下课！约老师撤步读秒三分杀人诛心 ,2023/1/16,9,5,0
