性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
1,1,0,1,1,#杨莉娜西甲首秀#北京时间1月26日凌晨，@女足杨莉娜-NANA  上演了她留洋西班牙的首秀，但其效力的拉斯普拉纳斯客场0-7惨败于巴塞罗那女足。杨莉娜身披17号球衣代表球队首发登场。此役，杨莉娜打满全场，但由于球队实力原因，拉斯普拉纳斯客场0-7惨败。目前以4胜3平9负的成绩排在积分榜第11位。#巴萨女足7比0拉斯普拉纳斯#,2023/1/26,38,7,6,"杨莉娜西甲首秀,巴萨女足7比0拉斯普拉纳斯"
1,9,0,1,1,"#斯坎迪奇女排无缘意大利杯四强#意大利杯女排四分之一决赛，@女排朱婷ZT 效力的斯坎迪奇俱乐部最终2比3不敌对手，无缘晋级四强。本场比赛，朱婷夺得全场最高分26分，5局比分：25-20, 22-25, 25-15, 23-25, 13-15。#朱婷26分#今日排球的微博视频 ",2023/1/26,12,4,0,"斯坎迪奇女排无缘意大利杯四强,朱婷26分"
1,7,0,1,1,张瑞3比0石洵瑶##何卓佳3比0范思琦##WTT支线赛多哈站2023# 女单1/4决赛：@Z张瑞Z 3-0 @石洵瑶w （11-6、11-5、11-9）@小胖子何卓佳 3-0 @范思琦rice （11-7、11-5、11-7）咪咕体育的微博视频 ,2023/1/25,7,2,2,
1,7,0,1,1,#刘炜珊3比2钱天一# 女单1/4决赛，@L炜珊Ss 3-2 @钱天一321 （14-12、4-11、11-7、10-12、11-9）#国乒包揽多哈站女单四强# #WTT支线赛多哈站2023# 咪咕体育的微博视频 ,2023/1/25,5,0,1,"刘炜珊3比2钱天一,国乒包揽多哈站女单四强,WTT支线赛多哈站2023"
1,2,0,3,2,#同曦老板娘检查林葳作业##CBA# 同曦老板娘突击林葳、邬挺嘉房间，给队员们定制西装。顺便检查了一下林葳的作业。[干饭人] 有网友说：“是前段时间给他发了一套高中的练习册”....CBA最前沿的微博视频 ,2023/1/25,30,4,0,"同曦老板娘检查林葳作业,CBA"
1,7,0,1,1,#蒯曼3比1杜凯琹##国乒包揽多哈站女单四强#女单1/4决赛，蒯曼@kuaiman0207 3-1 @杜凱琹 （11-6、9-11、11-9、11-6）国乒女队包揽了WTT支线赛多哈站2023女单四强！#蒯曼一天六战全胜# 咪咕体育的微博视频 ,2023/1/25,14,0,1,"蒯曼3比1杜凯琹,国乒包揽多哈站女单四强,蒯曼一天六战全胜"
1,7,0,1,1,#钱天一石洵瑶3比0杜凯琹朱成竹# #WTT支线赛多哈站2023# 又是3比0！女双半决赛：@钱天一321 /@石洵瑶w 3-0 @杜凱琹 /@朱成竹_zenobia （11-9、11-3、11-7）咪咕体育的微博视频 ,2023/1/25,6,1,1,"钱天一石洵瑶3比0杜凯琹朱成竹,WTT支线赛多哈站2023"
1,7,0,1,1,#张瑞蒯曼3比1刘炜珊范思琦##WTT支线赛多哈站2023# 女双半决赛：：@Z张瑞Z /蒯曼@kuaiman0207 3-1 @L炜珊Ss /@范思琦rice （8-11、11-7、11-4、11-7）咪咕乒乓球的微博视频 ,2023/1/25,4,0,1,"张瑞蒯曼3比1刘炜珊范思琦,WTT支线赛多哈站2023"
1,6,0,1,1,#印尼500赛何冰娇进次轮#@何冰娇的小号 15-21、21-12、21-7 奥原希望。何冰娇下一轮将对阵玛莉丝卡。#2023年印尼羽毛球大师赛# ,2023/1/25,26,1,1,"印尼500赛何冰娇进次轮,2023年印尼羽毛球大师赛"
1,1,0,2,4,水庆霞：女足也要找出莫德里奇那样的司令官；2023请相信中国女足！因为相信才会有惊喜，才会让我们向着更好的方向发展！#水庆霞说2023请相信中国女足# #中国女足得找出魔笛这种指挥官# 咪咕足球的微博视频 ,2023/1/25,73,14,20,"水庆霞说2023请相信中国女足,中国女足得找出魔笛这种指挥官"
1,7,0,1,1,#钱天一石洵瑶3比0江芷林黄凯彤##WTT支线赛多哈站2023# 女双1/4决赛： @钱天一321 /@石洵瑶w 3-0 江芷林/黄凯彤（11-2、11-4、11-8）@L炜珊Ss /@范思琦rice 3-0 韦格辛姐妹（11-9、11-6、11-4）咪咕体育的微博视频 ,2023/1/25,3,0,1,"钱天一石洵瑶3比0江芷林黄凯彤,WTT支线赛多哈站2023"
1,1,0,1,1,【#中国女足4人入选亚足联最佳阵容#】亚足联2022年女足最佳阵容：王霜王珊珊领衔，中国女足4人入选。#水庆霞说2023请相信中国女足#门将：@zhu朱钰 中场：@女足王霜 前锋：@王珊珊wss11 、@女足李影LeeCR  ,2023/1/25,29,5,11,"中国女足4人入选亚足联最佳阵容,水庆霞说2023请相信中国女足"
1,6,0,1,1,【#印尼500赛王祉怡进次轮#】#2023年印尼羽毛球大师赛#女单首轮：@_王祉怡_ 21-17/21-6战胜爱沙尼亚选手库巴。第二轮，王祉怡对阵丹麦选手米娅-布里希菲尔特 。 ,2023/1/25,7,0,1,"印尼500赛王祉怡进次轮,2023年印尼羽毛球大师赛"
1,2,0,1,1,【#WCBA全明星阵容公布#】@WCBA联赛 公布全明星周末阵容，杨力维杨舒予姐妹入选。北区：杨力维、杨舒予、黄思静、李月汝、张茹、王丽丽、李缘、杨衡瑜、唐毓、陈晏宇、马卓、张玲阁南区：王思雨、李梦、韩旭、金维娜、许晨妍、罗欣棫、张芷婷、彭华倩、万济圆、迪拉娜·迪里夏提、赵志芳、彭诗晴 ,2023/1/25,22,0,2,WCBA全明星阵容公布
1,3,0,1,1,【#杨钊煊无缘澳网女双四强#】#澳网2023#女双1/4决赛，杨钊煊@珠珠大志向 /詹皓晴以两个1-6不敌高芙/佩古拉，无缘四强 。女双半决赛对阵：[1]克雷吉茨科娃/西尼亚科娃 VS 科斯秋克/鲁塞[10]青山修子/柴原瑛菜 VS [2]高芙/佩古拉  ,2023/1/25,2,0,1,"杨钊煊无缘澳网女双四强,澳网2023"
1,3,0,1,1,【#萨巴伦卡首进澳网四强#】#澳网2023#5号种子的萨巴伦卡6-3/6-2直落两盘击败维基奇，首度晋级澳网半决赛，将与波兰选手里内特，争夺一个决赛席位。澳网AustralianOpen的微博视频 ,2023/1/25,7,1,1,"萨巴伦卡首进澳网四强,澳网2023"
1,11,0,1,1,【#谷爱凌备战xgames#】@青蛙公主爱凌 将参加北京时间1月28日-30日进行的X Games世界极限运动会。根据报名情况，谷爱凌将参加三个项目的比赛。目前，她已经开始了备战。体育叨叨酱的微博视频 ,2023/1/25,305,34,3,谷爱凌备战xgames
1,3,0,1,1,【#里内特首进大满贯四强#】#澳网2023# 波兰老将里内特实现职业生涯重大突破，6-3/7-5战胜前世界第一卡-普利斯科娃，晋级女单四强。她也成为继A拉和斯瓦泰克后，第三位跻身大满贯四强的波兰女选手。爱奇艺体育网球的微博视频 ,2023/1/25,6,2,2,"里内特首进大满贯四强,澳网2023"
1,7,0,1,4,#孙颖莎写福字#今日送福嘉宾——@孙颖莎 新春大吉，大展宏“兔”。WTT世界乒联的微博视频 ,2023/1/25,35,4,2,孙颖莎写福字
