性别（男0 女1 其余2）,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 台球10 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3社交媒体活动 4公关宣传、采访 5人际关系 6商业活动 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
0,1,0,1,1,#足坛新规将禁止门将干扰对手# 据《太阳报》消息，国际足球协会理事会（IFAB）将起草新规，禁止门将在对手罚点球时，做出世界杯决赛大马丁那样拖延或干扰对手的行为。据悉，新规有望在3月份得到批准，一旦规则做出改变，类似阿根廷门将马丁内斯、澳大利亚门将雷德梅尼在门线上跳舞的行为，将会遭到裁判的处罚。,2023/1/28,403,64,17,足坛新规将禁止门将干扰对手
0,6,0,1,1,#印尼500赛何济霆周昊东进决赛# @何济霆 @周-昊东 21-14、21-16战胜@刘雨辰1961 @欧烜屹 ，晋级决赛！将和卡南多/马丁争夺冠军  #2023年印尼羽毛球大师赛# ,2023/1/28,21,2,1,"印尼500赛何济霆周昊东进决赛,2023年印尼羽毛球大师赛"
0,1,0,1,1,#国奥2023年首次集训名单公布# 国奥男足2023年第一期集训名单公布，队伍将于2023年2月7日至27日赴上海集训，备战2024年巴黎奥运会预选赛暨U23亚洲杯。国奥集训队29人名单：山东泰山足球俱乐部：阿卜杜肉苏力·阿不都拉木、贾非凡、易县龙浙江职业足球俱乐部：郑雪健上海海港足球俱乐部：阿布拉汗·哈力克北京国安足球俱乐部：阮奇龙、段德智天津津门虎足球俱乐部：杨梓豪、石炎上海申花足球俱乐部：朱越、朱启文、金顺凯、蒋志鑫、何龙海、费尔南多大连人职业足球俱乐部：赵健博、王金帅沧州雄狮足球俱乐部：马辅渔深圳市足球俱乐部：田子羿武汉长江足球俱乐部：刘俊贤、陈宇浩广州足球俱乐部：王世龙青岛海牛足球俱乐部：谢文能苏州东吴足球俱乐部：余隆赟、梁伟棚辽宁沈阳城市足球俱乐部：陈荣江西北大门足球俱乐部：苏毕·阿布力米提、刘文浩海外运动员：蹇韬,2023/1/28,26,19,11,国奥2023年首次集训名单公布
0,1,0,1,1,#麦肯尼租借加盟利兹联# Here we go！名记罗马诺确认，美国国脚麦肯尼从尤文租借加盟利兹联，利兹联将支付120万欧元的租借费，并可以在赛季末用3300万欧元+浮动的价格将麦肯尼买断，本赛季麦肯尼出场21次，贡献3球2助攻 ,2023/1/28,11,1,3,麦肯尼租借加盟利兹联
0,1,0,2,1,#埃托奥严打喀麦隆足坛年龄造假# 据TyC报道，喀麦隆足协主席埃托奥目前在严打国内足球运动员年龄造假的问题。喀麦隆U17两周前2-0击败对手获得了4月份在阿尔及利亚举行的U17非洲杯的参赛资格，但是参加这场比赛的球队将无法参赛，因为阵中30人有21人没有能够通过骨龄测试。 ,2023/1/28,20,8,8,埃托奥严打喀麦隆足坛年龄造假
0,1,0,2,4,#曼联质疑英国首富收购计划# 据《每日邮报》报道，曼联内部人员曾私下批评英国首富拉特克利夫，怀疑其收购曼联的计划。拉特克利夫上周第一个公开宣布参与收购曼联，然而曼联方面确信拉特克利夫无意满足格雷泽家族60亿英镑标价，他参与此事主要是想获得积极的宣传效果。 ,2023/1/28,7,4,0,曼联质疑英国首富收购计划
0,9,0,1,1,#男排俞元泰加盟卡塔尔联赛豪门# 卡塔尔男排联赛豪门阿尔阿拉比俱乐部在社交媒体上宣布签约中国男排国手俞元泰，时间为一个赛季。俞元泰在阿尔阿拉比俱乐部仍然身披6号战袍。阿尔阿拉比男排共25次夺得卡塔尔联赛冠军、17次问鼎卡塔尔杯、两次加冕卡塔尔超级杯，在亚俱杯、海湾杯和阿拉伯锦标赛上各有一次登顶,2023/1/28,23,0,1,男排俞元泰加盟卡塔尔联赛豪门
0,1,0,1,1,#凯塞多缺席训练# 据罗马诺等记者报道，布莱顿的厄瓜多尔中场凯塞多缺席了今天的训练，预计他也不会出战明天对利物浦的比赛，消息指出，布莱顿不准备在一月份将他出售 #布莱顿拒放凯塞多# ,2023/1/28,16,1,0,"凯塞多缺席训练,布莱顿拒放凯塞多"
0,6,0,1,1,#印尼500赛王祉怡无缘决赛# 女单半决赛，@_王祉怡_ 9-21、21-10、16-21不敌安洗莹，安洗莹连续三站比赛打进决赛，将和马林争夺本次比赛的冠军 #2023年印尼羽毛球大师赛# ,2023/1/28,12,2,1,"印尼500赛王祉怡无缘决赛,2023年印尼羽毛球大师赛"
0,1,2,1,5,#姆巴佩敲打主教练帽子# 在巴黎圣日耳曼全队参观即将落成的训练中心时，姆巴佩从背后敲了主教练加尔捷的帽子。网友调侃：姆总敲打主教练 咪咕足球的微博视频 ,2023/1/28,35,9,3,姆巴佩敲打主教练帽子
