性别,项目（足球1 篮球2 网球3 游泳跳水4 田径5 羽毛球6 乒乓球7 体操8 排球9 冰雪项目11 电竞12 其他13 体育无关14）,是否用外号（0无 1有+正面或中性 2有+负面或调侃） ,身份（1运动员 2其余从业者 3非从业者）,类别（1赛事赛场报道 2个人生活 3个人社交媒体活动 4公关宣传 5人际关系 6商业广告 7花边绯闻 8外界评价 9媒体物料 10负面新闻）,正文,日期,点赞数,评论数,转发数,话题
0,1,0,1,1,12场英超0球！热刺5800万欧元打水漂去年夏天，热刺斥资5800万欧从埃弗顿引进巴西前锋理查利森。加盟热刺至今，理查利森累计代表球队出场17次，共825分钟，仅打进2球，另有3次助攻和2张黄牌。在英超层面，理查利森本赛季累计出场12次，其中5次首发，交出469分钟0球的尴尬数据！ ,2023/1/20,533,113,20,
0,1,1,1,1,“马冬梅”杀疯了！近8场比赛狂轰7球2助 戴手套的马赫雷斯真惹不起⚽⚽🅰️ 英超 4-2热刺❌ 英超 0-1曼联⚽⚽ 足总杯第3轮 4-0切尔西⚽ 英超 1-0切尔西🅰️ 英超 1-1埃弗顿❌ 英超 3-1利兹联⚽ 联赛杯第4轮 3-2利物浦⚽ 联赛杯第3轮 2-0切尔西 ,2023/1/20,13,2,1,
0,1,0,1,1,C罗利雅得首秀集锦：独中两元+当选全场最佳球员#C罗梅开二度# #C罗沙特首秀获评全场最佳# PP体育的微博视频 ,2023/1/20,163,18,24,"C罗梅开二度,C罗沙特首秀获评全场最佳"
0,1,0,1,1,意大利杯-尤文2-1蒙扎晋级 小基耶萨复出后首球！小基恩破门#尤文图斯2比1蒙扎# PP体育的微博视频 ,2023/1/20,4,0,0,尤文图斯2比1蒙扎
0,1,0,1,1,国王杯-莱万双响凯西1射2传 巴萨5-0休达晋级八强#休达0比5巴萨# #巴萨晋级国王杯8强# #莱万梅开二度# PP体育的微博视频 ,2023/1/20,11,0,11,"休达0比5巴萨,巴萨晋级国王杯8强,莱万梅开二度"
0,1,0,1,1,青春完美落幕！梅罗赛后互晒合影C罗的沙特首秀迎来梅西领衔的巴黎圣日耳曼，第37次梅罗对决没有让球迷失望。梅西开场不到3分钟就闪击破门；C罗则完成梅开二度的好戏，并荣膺全场最佳球员。由于C罗出走沙特，这或许是梅罗的最后一次直接对话。比赛结束后，C罗更新个人社交媒体晒出二人合影，并附言写道：““见到老友太开心。”梅西同样更新了社交媒体，晒出二人拥抱的短视频。#梅西C罗互晒合影#,2023/1/20,554,55,57,梅西C罗互晒合影
0,1,0,1,1,国王杯-皇马连扳三球3-2逆转淘汰黄潜 塞巴略斯传射！小熊破门#比利亚雷亚尔2比3皇马# #皇马晋级国王杯八强# PP体育的微博视频 ,2023/1/20,15,5,2,"比利亚雷亚尔2比3皇马,皇马晋级国王杯八强"
0,1,0,1,1,让二追四！英超-曼城4-2逆转热刺 马赫雷斯2球1助！哈兰德＆小蜘蛛破门#曼城4比2热刺# #马赫雷斯进球# PP体育的微博视频 ,2023/1/20,23,5,2,"曼城4比2热刺,马赫雷斯进球"
0,1,0,1,1,友谊赛-梅西闪击C罗双响！姆巴佩造3球 巴黎5-4利雅得全明星#利雅得全明星队4比5巴黎圣日耳曼##C罗梅开二度##梅西开场破门# PP体育的微博视频 ,2023/1/20,65,6,14,"利雅得全明星队4比5巴黎圣日耳曼,C罗梅开二度,梅西开场破门"
0,1,0,1,1,FIFA23年度最佳阵：梅西、本泽马、姆巴佩三叉戟，贝林厄姆入围具体如下：门将：库尔图瓦(皇家马德里)后卫：阿什拉夫(巴黎圣日耳曼)，米利唐(皇家马德里)，范戴克(利物浦)，特奥(AC米兰)中场：莫德里奇(皇家马德里)，德布劳内(曼城)，贝林厄姆(多特蒙德)前锋：梅西(巴黎圣日耳曼)，本泽马(皇家马德里)，姆巴佩(巴黎圣日耳曼)#FIFA23年度最佳阵#,2023/1/20,153,14,4,FIFA23年度最佳阵
